都道府県,2024年1-9月,2025年1-9月,増減,増減率
全国,総数,3058,2872,186,6.5
北海道,計,109,105,4,3.8
北海道,札幌方面,82,72,10,13.9
北海道,函館方面,6,4,2,50
北海道,旭川方面,3,6,-3,-50
北海道,釧路方面,11,17,-6,-35.3
北海道,北見方面,7,6,1,16.7
東北,計,186,212,-26,-12.3
東北,青森県,35,57,-22,-38.6
東北,岩手県,25,31,-6,-19.4
東北,宮城県,64,69,-5,-7.2
東北,秋田県,11,16,-5,-31.3
東北,山形県,18,9,9,100
東北,福島県,33,30,3,10
東京都,,471,447,24,5.4
関東,計,746,646,100,15.5
関東,茨城県,57,44,13,29.5
関東,栃木県,30,22,8,36.4
関東,群馬県,37,39,-2,-5.1
関東,埼玉県,194,165,29,17.6
関東,千葉県,126,92,34,37
関東,神奈川県,148,162,-14,-8.6
関東,新潟県,40,36,4,11.1
関東,山梨県,18,9,9,100
関東,長野県,27,27,0,0
関東,静岡県,69,50,19,38
中部,計,322,350,-28,-8
中部,富山県,16,28,-12,-42.9
中部,石川県,17,26,-9,-34.6
中部,福井県,12,30,-18,-60
中部,岐阜県,30,32,-2,-6.3
中部,愛知県,210,202,8,4
中部,三重県,37,32,5,15.6
近畿,計,553,568,-15,-2.6
近畿,滋賀県,39,38,1,2.6
近畿,京都府,57,64,-7,-10.9
近畿,大阪府,285,283,2,0.7
近畿,兵庫県,127,140,-13,-9.3
近畿,奈良県,20,17,3,17.6
近畿,和歌山県,25,26,-1,-3.8
中国,計,164,125,39,31.2
中国,鳥取県,17,15,2,13.3
中国,島根県,11,15,-4,-26.7
中国,岡山県,42,37,5,13.5
中国,広島県,71,48,23,47.9
中国,山口県,23,10,13,130
四国,計,80,75,5,6.7
四国,徳島県,7,9,-2,-22.2
四国,香川県,32,25,7,28
四国,愛媛県,23,27,-4,-14.8
四国,高知県,18,14,4,28.6
九州,計,427,344,83,24.1
九州,福岡県,156,128,28,21.9
九州,佐賀県,22,30,-8,-26.7
九州,長崎県,33,22,11,50
九州,熊本県,47,46,1,2.2
九州,大分県,14,18,-4,-22.2
九州,宮崎県,26,25,1,4
九州,鹿児島県,64,43,21,48.8
九州,沖縄県,65,32,33,103.1

